title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
אלי מויאל 1,₪ 1 730 000,"מגרשים, שדרות בפארק, שדרות",6 חדרים • קומה קרקע • 412 מ״ר,"3 חדרי מקלחת, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202509/17/2_1/o/y2_1pa_010856_20250917161028.jpeg,,1730000.0,3.0,412.0,4.0,שדרות,,4199.0291262135925
מרחבים 1322,₪ 690 000,"דירה, נווה גן, דימונה",4 חדרים • קומה 6 • 89 מ״ר,"3 כיווני אוויר, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202509/01/2_1/o/y2_1pa_010495_20250901180358.jpeg,,690000.0,4.0,89.0,6.0,דימונה,,7752.808988764045
יצחק שמיר 14,₪ 3 150 000,"דירה, רמת הדר, גבעת שמואל",4 חדרים • קומה 4 • 131 מ״ר,"ממ""ד, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202508/28/2_1/o/y2_1_01436_20250828103229.jpeg,,3150000.0,4.0,131.0,4.0,גבעת שמואל,,24045.801526717558
משעול החיטה 2,₪ 1 350 000,"דירת גן, קדומים, קדומים",3 חדרים • קומה קרקע • 172 מ״ר,"3 חדרי מקלחת, 3 כיווני אוויר, נוף פתוח לפארק",https://img.yad2.co.il/Pic/202508/31/2_1/o/y2_1pa_010217_20250831204503.jpeg,,1350000.0,3.0,172.0,4.0,קדומים,,7848.837209302325
דפנה 10,₪ 2 999 999,"גג/ פנטהאוז, סיגליות, באר שבע",6 חדרים • קומה 9 • 296 מ״ר,"3 חדרי מקלחת, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/01/2_1/o/y2_1pa_010079_20250901133209.jpeg,,2999999.0,3.0,296.0,9.0,Unknown,"פנטהאוז, סיגליות, באר שבע",10135.131756756757
הנוטר 29,₪ 2 780 000,"דירת גן, קרית חיים מזרחית, חיפה",6 חדרים • קומה קרקע • 244 מ״ר,"3 כיווני אוויר, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202507/15/2_1/o/y2_1pa_010221_20250715214302.jpeg,,2780000.0,6.0,244.0,4.0,חיפה,,11393.442622950819
שדרות לוי אשכול 2,₪ 6 000 000,"דירה, כוכב הצפון, תל אביב יפו",3 חדרים • קומה 3 • 94 מ״ר,"ממ""ד, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202406/13/2_1/o/y2_1pa_010381_20240613191419.jpeg,,6000000.0,3.0,94.0,3.0,תל אביב יפו,,63829.78723404255
דרך בר יהודה 52,₪ 2 290 000,"דירת גן, אזור תעשיה, נשר",4 חדרים • קומה קרקע • 165 מ״ר,"ממ""ד, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202412/03/2_1/o/y2_1pa_010122_20241203100059.jpeg,,2290000.0,4.0,165.0,4.0,נשר,,13878.787878787878
השיקמה 3,₪ 2 400 000,"בית פרטי/ קוטג', רובע ב', אריאל",4 חדרים • קומה קרקע • 180 מ״ר,"3 כיווני אוויר, משופצת אדריכלית, בניין משופץ",https://img.yad2.co.il/Pic/202508/20/2_1/o/y2_1pa_010799_20250820031317.jpeg,,2400000.0,4.0,180.0,4.0,Unknown,"קוטג', רובע ב', אריאל",13333.333333333334
תבור 12,₪ 2 350 000,"דירה, בית בפארק ,פרדס בחסכון, אור יהודה",3 חדרים • קומה 10 • 110 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/30/2_1/o/y2_1_06148_20250830070724.jpeg,,2350000.0,3.0,110.0,10.0,אור יהודה,,21363.636363636364
גדעון האוזנר 44,₪ 1 700 000,"דירה, רמות הרכס, באר שבע",4 חדרים • קומה 4 • 124 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/29/2_1/o/y2_1_04008_20250829130705.jpeg,,1700000.0,4.0,124.0,4.0,באר שבע,,13709.677419354839
שדרות ששת הימים 170,₪ 1 350 000,"דירה, אורים, מערב 2, אילת",3 חדרים • קומה 3 • 100 מ״ר,"2 מרפסות, נוף פתוח לים, חניה",https://img.yad2.co.il/Pic/202506/06/2_1/o/y2_1_02671_20250606220354.jpeg,,1350000.0,3.0,2.0,3.0,אילת,,675000.0
אופנהיימר 8,₪ 10 900 000,"דירה, נווה אביבים, תל אביב יפו",6 חדרים • קומה 5 • 176 מ״ר,"3 חדרי מקלחת, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/30/2_1/o/y2_1pa_010683_20250830115414.jpeg,,10900000.0,3.0,176.0,5.0,תל אביב יפו,,61931.818181818184
משה שפירא 18,₪ 6 900 000,"דו משפחתי, צפון מזרח מרכז העיר, נתניה",7 חדרים • קומה קרקע • 250 מ״ר,"ממ""ד, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202506/10/2_1/o/y2_1pa_010104_20250610221559.jpeg,,6900000.0,7.0,250.0,4.0,נתניה,,27600.0
קרית ספר 28,₪ 2 870 000,"דירה, כצנלסון, ראשון לציון",5 חדרים • קומה 1 • 126 מ״ר,"ממ""ד, 3 כיווני אוויר, בניין משופץ",https://img.yad2.co.il/Pic/202508/29/2_1/o/y2_1pa_010103_20250829154055.jpeg,,2870000.0,5.0,126.0,1.0,ראשון לציון,,22777.777777777777
מעיין 9,₪ 2 480 000,"דירה, נופרים, ראש העין",4.5 חדרים • קומה 15 • 132 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/15/2_1/o/y2_1_06328_20250815001809.jpeg,,2480000.0,4.5,132.0,15.0,ראש העין,,18787.878787878788
שדרות דוד המלך 513,₪ 1 750 000,"דירה, גני רבין, אור עקיבא",4 חדרים • קומה 2 • 112 מ״ר,"ממ""ד, 3 כיווני אוויר, נוף פתוח לעיר",https://img.yad2.co.il/Pic/202509/14/2_1/o/y2_1_04158_20250914004902.jpeg,,1750000.0,4.0,112.0,2.0,אור עקיבא,,15625.0
הצבר 16,₪ 5 500 000,"בית פרטי/ קוטג', שאר העיר, קדימה צורן",7 חדרים • קומה קרקע • 377 מ״ר,"2 מרפסות, 4 חדרי מקלחת, 4 כיווני אוויר",https://img.yad2.co.il/Pic/202507/13/2_1/o/y2_1_01958_20250713170117.jpeg,,5500000.0,4.0,2.0,4.0,Unknown,"קוטג', שאר העיר, קדימה צורן",2750000.0
רב אלוף רפאל איתן 38,₪ 3 950 000,"דירה, רמת אפעל, רמת גן",5 חדרים • קומה 4 • 136 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202507/27/2_1/o/y2_1_07645_20250727114607.jpeg,,3950000.0,5.0,136.0,4.0,רמת גן,,29044.117647058825
הזורע,₪ 3 900 000,"בית פרטי/ קוטג', קציר",8.5 חדרים • קומה קרקע • 250 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202208/04/2_5/o/y2_12_999797_20220804.jpg,,3900000.0,8.5,2.0,4.0,Unknown,"קוטג', קציר",1950000.0
"לח""י",₪ 3 880 000,"גג/ פנטהאוז, שז""ר / דקר, טירת כרמל",5 חדרים • קומה 20 • 121 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202509/06/2_5/o/y2_1pa_010796_20250906213326.jpeg,,3880000.0,5.0,121.0,20.0,Unknown,"פנטהאוז, שז""ר",32066.11570247934
תל חי,₪ 3 390 000,"דירה, רעננה",4 חדרים • קומה 3 • 119 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202505/14/2_5/o/y2_1_idyEZUIYN__20250514.jpg,,3390000.0,4.0,119.0,3.0,רעננה,,28487.394957983193
אדמונד סחייק,₪ 7 790 000,"גג/ פנטהאוז, מלחה, מנחת, ירושלים",6 חדרים • קומה 1 • 200 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/14/2_5/o/y2_1pa_010497_20250814145049.jpeg,,7790000.0,6.0,200.0,1.0,Unknown,"פנטהאוז, מלחה, מנחת, ירושלים",38950.0
יהודה הלוי,₪ 1 690 000,"דירה, לב המושבה / מרכז העיר, פתח תקווה",3 חדרים • קומה 3 • 80 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/11/2_5/o/y2_1pa_010810_20250911151634.jpeg,,1690000.0,3.0,80.0,3.0,לב המושבה,"מרכז העיר, פתח תקווה",21125.0
אחוזה,₪ 4 900 000,"גג/ פנטהאוז, אחוזה, חיפה",5 חדרים • קומה 6 • 130 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202407/16/2_5/o/y2_1pa_010030_20240716150937.jpeg,,4900000.0,5.0,2.0,6.0,Unknown,"פנטהאוז, אחוזה, חיפה",2450000.0
שבו,₪ 3 230 000,"דירה, צמרות המושבה, באר יעקב",5 חדרים • קומה 2 • 125 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202507/22/2_5/o/y2_1pa_010792_20250722145217.jpeg,,3230000.0,5.0,125.0,2.0,באר יעקב,,25840.0
משק חקלאי/ נחלה,₪ 15 000 000,"משק חקלאי/ נחלה, כפר שמואל",קומה קרקע • 19500 מ״ר,"חניה, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/07/2_5/o/y2_1_rKEoWr0_MJ_20250907.jpg,,15000000.0,4.0,19500.0,4.0,משק חקלאי,"נחלה, כפר שמואל",769.2307692307693
משעול השוהם 6,₪ 2 750 000,"דירה, בן גוריון, חולון",5.5 חדרים • קומה 5 • 134 מ״ר,"חניה, יחידת הורים, בניין משופץ",https://img.yad2.co.il/Pic/202505/25/2_5/o/y2_1_uBOKKDO1Zi_20250525.jpg,,2750000.0,5.5,134.0,5.0,חולון,,20522.388059701494
דירה,₪ 3 290 000,"דירה, הרצליה",4 חדרים • קומה 4 • 98 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202504/24/2_5/o/y2_1_gPRn9SEBoS_20250424.jpeg,,3290000.0,4.0,98.0,4.0,הרצליה,,33571.42857142857
הבנים 21,₪ 5 200 000,"דופלקס, מרכז, כפר סבא",7 חדרים • קומה 5 • 290 מ״ר,"3 מרפסות, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202509/08/2_5/o/y2_1pa_010301_20250908151329.jpeg,,5200000.0,7.0,3.0,5.0,כפר סבא,,1733333.3333333333
הגליל,₪ 6 000 000,"בית פרטי/ קוטג', חבצלת, רחובות",9 חדרים • קומה קרקע • 250 מ״ר,"ממ""ד, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202508/04/2_5/o/y2_2_63YZ1_JH5m_20250804.jpg,,6000000.0,9.0,250.0,4.0,Unknown,"קוטג', חבצלת, רחובות",24000.0
הגדוד העברי,₪ 1 920 000,"דירה, לב העיר, בת ים",3 חדרים • קומה 1 • 77 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202507/30/2_5/o/y2_1_zT5Hyowoau_20250730.jpeg,,1920000.0,3.0,77.0,1.0,בת ים,,24935.064935064936
שדרות הרב משה שמואל שפירא,₪ 5 200 000,"דופלקס, פארק המושבה, באר יעקב",6 חדרים • קומה 15 • 177 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202508/25/2_5/o/y2_1pa_010152_20250825123033.jpeg,,5200000.0,6.0,2.0,15.0,באר יעקב,,2600000.0
רוטנברג,₪ 555 000,"דירה, שכונה ג', באר שבע",3 חדרים • קומה 3 • 60 מ״ר,"חניה, קרוב לפארק, בהזדמנות",https://img.yad2.co.il/Pic/202507/17/2_5/o/o2_5_1_07946_20250717101605.jpg,,555000.0,3.0,60.0,3.0,באר שבע,,9250.0
דירה,₪ 2 300 000,"דירה, תל אביב יפו",3 חדרים • קומה 3 • 70 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202502/24/2_5/o/y2_1pa_010433_20250224104105.jpeg,,2300000.0,3.0,70.0,3.0,תל אביב יפו,,32857.142857142855
משק חקלאי/ נחלה,₪ 5 500 000,"משק חקלאי/ נחלה, אומץ",קומה קרקע • 10300 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202501/28/2_5/o/y2_1_YupCSSPzU2_20250128.jpg,,5500000.0,4.0,10300.0,4.0,משק חקלאי,"נחלה, אומץ",533.9805825242719
הצפון החדש - כיכר המדינה,₪ 7 690 000,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",5 חדרים • קומה 4 • 120 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202504/09/2_5/o/o2_5_1_05002_20250409131946.jpg,,7690000.0,5.0,120.0,4.0,הצפון החדש,"כיכר המדינה, תל אביב יפו",64083.333333333336
י.צ. מיכאלסון,₪ 6 600 000,"דירת גן, ניות, ירושלים",5 חדרים • קומה קרקע • 280 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/10/2_5/o/y2_1_2mP2tQm2Tx_20250810.jpeg,,6600000.0,5.0,280.0,4.0,ירושלים,,23571.428571428572
חטיבת כפיר 28,₪ 1 350 000,"דירה, רובע יזרעאל סביוני העמק, עפולה",4 חדרים • קומה 4 • 112 מ״ר,"ממ""ד, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202505/27/2_1/o/y2_1pa_010030_20250527203832.jpeg,,1350000.0,4.0,112.0,4.0,עפולה,,12053.57142857143
התאנה 2,₪ 4 100 000,"דירה, קיראון, קרית אונו",5 חדרים • קומה 8 • 134 מ״ר,"3 חדרי מקלחת, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202503/09/2_1/o/y2_1pa_010491_20250309120546.jpeg,,4100000.0,3.0,134.0,8.0,קרית אונו,,30597.014925373136
משעול הערבה 29,₪ 1 480 000,"בית פרטי/ קוטג', שכונה ה', באר שבע",4.5 חדרים • קומה קרקע • 170 מ״ר,"מטבח גדול, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202508/28/2_1/o/y2_1pa_010561_20250828095303.jpeg,,1480000.0,4.5,170.0,4.0,Unknown,"קוטג', שכונה ה', באר שבע",8705.882352941177
דב יוסף 2,₪ 785 000,"דירה, שכונה י""א, באר שבע",4 חדרים • קומה 4 • 100 מ״ר,"3 חדרי מקלחת, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/02/2_1/o/y2_1_09388_20250902142255.jpeg,,785000.0,3.0,100.0,4.0,באר שבע,,7850.0
שמעון ויזנטל 1,₪ 2 990 000,"גג/ פנטהאוז, משכנות גנים, פתח תקווה",4 חדרים • קומה 14 • 222 מ״ר,"2 מרפסות, 4 חדרי מקלחת, חניה",https://img.yad2.co.il/Pic/202507/18/2_1/o/y2_1_05436_20250718130551.jpeg,,2990000.0,4.0,2.0,14.0,Unknown,"פנטהאוז, משכנות גנים, פתח תקווה",1495000.0
אלכסנדר סשה ארגוב 2,₪ 7 200 000,"דופלקס, המשתלה, תל אביב יפו",5.5 חדרים • קומה 4 • 270 מ״ר,"ממ""ד, 4 כיווני אוויר, נוף פתוח לפארק",https://img.yad2.co.il/Pic/202508/27/2_1/o/y2_1pa_010220_20250827123051.jpeg,,7200000.0,5.5,270.0,4.0,תל אביב יפו,,26666.666666666668
רבי בנימין 13,₪ 3 500 000,"דירה, בית הכרם, רמת בית הכרם, ירושלים",4 חדרים • קומה 6 • 89 מ״ר,"4 כיווני אוויר, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202508/27/2_1/o/y2_1pa_010957_20250827090449.jpeg,,3500000.0,4.0,89.0,6.0,ירושלים,,39325.84269662921
זוויתן 53,₪ 6 250 000,"דו משפחתי, המושבה הירוקה, אבן יהודה",7 חדרים • קומה קרקע • 281 מ״ר,"3 חדרי מקלחת, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/30/2_1/o/y2_1_09089_20250830103122.jpeg,,6250000.0,3.0,281.0,4.0,אבן יהודה,,22241.992882562277
הנביא צפניה 10,₪ 5 500 000,"בית פרטי/ קוטג', רמת אבי עזרי / רמת בית שמש ג-1, בית שמש",8 חדרים • קומה קרקע • 300 מ״ר,"3 חדרי מקלחת, ממ""ד, 3 כיווני אוויר",https://img.yad2.co.il/Pic/202508/28/2_1/o/y2_1pa_010267_20250828102253.jpeg,,5500000.0,3.0,300.0,4.0,Unknown,"קוטג', רמת אבי עזרי",18333.333333333332
השר משה 24,₪ 2 990 000,"דירה, נגבה, רמת גן",4 חדרים • קומה 2 • 99 מ״ר,"3 כיווני אוויר, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202503/25/2_1/o/y2_1pa_010387_20250325112704.jpeg,,2990000.0,4.0,99.0,2.0,רמת גן,,30202.0202020202
ארלוזורוב 10,₪ 720 000,"דירה, הדר מרכז, חיפה",2.5 חדרים • קומה 3 • 46 מ״ר,"נוף פתוח לעיר, קרוב לפארק, בהזדמנות",https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg,,720000.0,2.5,46.0,3.0,חיפה,,15652.173913043478
אליעזר שילוני 2,₪ 6 450 000,"גג/ פנטהאוז, עיר גנים, ירושלים",5 חדרים • קומה 22 • 212 מ״ר,"2 מרפסות, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/28/2_1/o/y2_1pa_010504_20250828101751.jpeg,,6450000.0,5.0,2.0,22.0,Unknown,"פנטהאוז, עיר גנים, ירושלים",3225000.0
חיים בר לב 7,₪ 7 680 000,"גג/ פנטהאוז, קרית קריניצי, רמת גן",4 חדרים • קומה 17 • 178 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202509/08/2_1/o/y2_1pa_010041_20250908105700.jpeg,,7680000.0,4.0,2.0,17.0,Unknown,"פנטהאוז, קרית קריניצי, רמת גן",3840000.0
גבעות עדן,₪ 4 995 000,"מגרשים, גבעות עדן, גבעות עדן",קומה קרקע • 1024 מ״ר,"נכס חדש, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/11/2_1/o/y2_1pa_010007_20250911175651.jpeg,,4995000.0,4.0,1024.0,4.0,גבעות עדן,,4877.9296875
ואדי 1,₪ 1 700 000,"דירה, ואדי נסנאס, חיפה",3 חדרים • קומה 1 • 120 מ״ר,"2 מרפסות, 3 כיווני אוויר, נוף פתוח לעיר",https://img.yad2.co.il/Pic/202508/27/2_1/o/y2_1_03355_20250827203201.jpeg,,1700000.0,3.0,2.0,1.0,חיפה,,850000.0
סמטת השחר 3,₪ 3 240 000,"דירה, נווה רבין, אור יהודה",4.5 חדרים • קומה 7 • 162 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/12/2_1/o/y2_1pa_010058_20250912115853.jpeg,,3240000.0,4.5,162.0,7.0,אור יהודה,,20000.0
בלפור 24,₪ 1 020 000,"דירה, שכונה א', באר שבע",4 חדרים • קומה 4 • 100 מ״ר,"נוף פתוח לעיר, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202508/27/2_1/o/y2_1pa_010763_20250827133347.jpeg,,1020000.0,4.0,100.0,4.0,באר שבע,,10200.0
שטרן 113,₪ 2 797 770,"דירה, קיראון, קרית אונו",4 חדרים • קומה 2 • 114 מ״ר,"ממ""ד, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202407/19/2_1/o/y2_1pa_010963_20240719024150.jpeg,,2797770.0,4.0,114.0,2.0,קרית אונו,,24541.842105263157
לאה גולדברג 29,₪ 1 550 000,"דירה, רובע יזרעאל סביוני העמק, עפולה",4 חדרים • קומה 1 • 110 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/08/2_1/o/y2_1pa_010503_20250908203101.jpeg,,1550000.0,4.0,110.0,1.0,עפולה,,14090.90909090909
אפרים קציר 9,₪ 4 400 000,"דירה, מתחם 1200, הוד השרון",5 חדרים • קומה 8 • 134 מ״ר,"ממ""ד, חניה, מטבח גדול",https://img.yad2.co.il/Pic/202508/20/2_5/o/y2_1pa_010556_20250820132410.jpeg,,4400000.0,5.0,134.0,8.0,הוד השרון,,32835.82089552239
הארזים,₪ 5 300 000,"דירה, בית הכרם, רמת בית הכרם, ירושלים",5 חדרים • קומה 5 • 150 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202507/13/2_5/o/y2_1_h7rP3YcAyG_20250713.png,,5300000.0,5.0,150.0,5.0,ירושלים,,35333.333333333336
בארי,₪ 11 500 000,"דירה, הצפון החדש - דרום, תל אביב יפו",5 חדרים • קומה 3 • 160 מ״ר,,https://img.yad2.co.il/Pic/202506/12/2_5/o/y2_1_998028_20250612.jpg,,11500000.0,5.0,160.0,3.0,הצפון החדש,"דרום, תל אביב יפו",71875.0
השומר,₪ 1 980 000,"דירה, השומר, ראשון לציון",4 חדרים • קומה 1 • 95 מ״ר,"חניה, קרוב לפארק, בהזדמנות",https://img.yad2.co.il/Pic/202307/17/2_5/o/y2_1_S5FC6ucuGR_20230717.jpeg,,1980000.0,4.0,95.0,1.0,ראשון לציון,,20842.105263157893
בית פרטי/ קוטג',₪ 3 500 000,"בית פרטי/ קוטג', נתיבות",7 חדרים • קומה קרקע • 530 מ״ר,"ממ""ד, מטבח גדול, בהזדמנות",https://img.yad2.co.il/Pic/202508/27/2_5/o/y2_14_994131_20250827.jpeg,,3500000.0,7.0,530.0,4.0,Unknown,"קוטג', נתיבות",6603.773584905661
עיר היין,₪ 2 040 000,"דירה, עיר היין, אשקלון",5 חדרים • קומה 5 • 140 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202504/21/2_5/o/y2_1pa_010579_20250421101820.jpeg,,2040000.0,5.0,140.0,5.0,אשקלון,,14571.42857142857
גבעת שמשון,₪ 2 950 000,"בית פרטי/ קוטג', גבעת שמשון, גן יבנה",5 חדרים • קומה קרקע • 200 מ״ר,"2 מרפסות, ממ""ד, יחידת הורים",https://img.yad2.co.il/Pic/202505/19/2_5/o/y2_1pa_993734_20250519152011.jpeg,,2950000.0,5.0,2.0,4.0,Unknown,"קוטג', גבעת שמשון, גן יבנה",1475000.0
התזמורת,₪ 2 680 000,"דירה, נאות אשלים, ראשון לציון",4 חדרים • קומה 7 • 105 מ״ר,"ממ""ד, חניה, קרוב לים",https://img.yad2.co.il/Pic/202506/12/2_5/o/y2_1_h8wSLWmtNS_20250612.jpg,,2680000.0,4.0,105.0,7.0,ראשון לציון,,25523.809523809523
עוגן,₪ 2 270 000,"דירה, גלי כרמל, טירת כרמל",5 חדרים • קומה 9 • 125 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/12/2_5/o/y2_1pa_010326_20250812143751.jpeg,,2270000.0,5.0,125.0,9.0,טירת כרמל,,18160.0
"אזורי חן, גימל החדשה",₪ 11 500 000,"גג/ פנטהאוז, אזורי חן, גימל החדשה, תל אביב יפו",5 חדרים • קומה 7 • 209 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202509/01/2_5/o/y2_1pa_010228_20250901002226.jpeg,,11500000.0,5.0,209.0,7.0,Unknown,"פנטהאוז, אזורי חן, גימל החדשה, תל אביב יפו",55023.92344497608
שבט מנשה,₪ 2 250 000,"דירה, אחיסמך, לוד",5 חדרים • קומה 2 • 109 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202507/06/2_5/o/y2_1_17VBMxFsK1_20250706.jpeg,,2250000.0,5.0,109.0,2.0,לוד,,20642.201834862386
נגבה,₪ 3 850 000,"גג/ פנטהאוז, נגבה, רמת גן",5 חדרים • קומה 5 • 200 מ״ר,"3 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202508/09/2_5/o/y2_2_996245_20250809.png,,3850000.0,5.0,3.0,5.0,Unknown,"פנטהאוז, נגבה, רמת גן",1283333.3333333333
החסידה,₪ 1 720 000,"דירה, בית""ר, יד שמואל, חדרה",4 חדרים • קומה 1 • 111 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202509/13/2_5/o/y2_2_1onbLTgvlD_20250913.jpg,,1720000.0,4.0,111.0,1.0,חדרה,,15495.495495495496
חלמיש,₪ 830 000,"דירה, חלמיש, ערד",4 חדרים • קומה 8 • 85 מ״ר,"בניין משופץ, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202303/15/2_5/o/y2_1_JrcbKSQTyH_20230315.jpeg,,830000.0,4.0,85.0,8.0,ערד,,9764.70588235294
פוריה 4,₪ 2 950 000,"דירה, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו",2.5 חדרים • קומה 1 • 59 מ״ר,"ממ""ד, נכס חדש, קרוב לים",https://img.yad2.co.il/Pic/202503/24/2_5/o/y2_1_lCc1EVGppC_20250324.jpeg,,2950000.0,2.5,59.0,1.0,המושבה האמריקאית,"גרמנית, תל אביב יפו",50000.0
סחלב,₪ 1 570 000,"דירה, הכלניות, שדרות",4 חדרים • קומה 2 • 108 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202409/30/2_5/o/y2_1_ElPJsccoLX_20240930.jpg,,1570000.0,4.0,108.0,2.0,שדרות,,14537.037037037036
אליעזר שילוני 2,₪ 3 950 000,"דירה, עיר גנים, ירושלים",5 חדרים • קומה 15 • 136 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202506/08/2_5/o/y2_1pa_010991_20250608151113.jpeg,,3950000.0,5.0,136.0,15.0,ירושלים,,29044.117647058825
"ש""י עגנון",₪ 4 000 000,"גג/ פנטהאוז, מרכז דרום, רעננה",5 חדרים • קומה 5 • 237 מ״ר,"חניה, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/18/2_5/o/y2_2_gTb1DmIR5N_20250918.jpeg,,4000000.0,5.0,237.0,5.0,Unknown,"פנטהאוז, מרכז דרום, רעננה",16877.637130801686
יעקב דורי,₪ 2 000 000,"דירה, נאות שמיר, רמלה",3 חדרים • קומה 10 • 80 מ״ר,"ממ""ד, חניה, בהזדמנות",https://img.yad2.co.il/Pic/202311/05/2_5/o/y2_1_mnSLFLXQk7_20231105.jpg,,2000000.0,3.0,80.0,10.0,רמלה,,25000.0
יוסף ברץ 2,₪ 2 840 000,"דירה, נאות רחל, חולון",4 חדרים • קומה 4 • 100 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202508/17/2_1/o/y2_1pa_010332_20250817114941.jpeg,,2840000.0,4.0,100.0,4.0,חולון,,28400.0
